basin	model	historical_variant	ssp585_variant	ubound_kt	historical_valid_count	historical_percentile_of_ubound	historical_vmax_min_kt	historical_vmax_max_kt	ssp585_2015_2049_vmax_at_historical_percentile_kt	ssp585_2015_2049_minus_ubound_kt	ssp585_2040_2074_vmax_at_historical_percentile_kt	ssp585_2040_2074_minus_ubound_kt	ssp585_2065_2099_vmax_at_historical_percentile_kt	ssp585_2065_2099_minus_ubound_kt
SP	AWI-CM-1-1-MR	r1i1p1f1	r1i1p1f1	170.000000	212520	91.844062	0.000000	213.527935	170.000000	0.000000	170.000000	0.000000	175.000000	5.000000
SP	BCC-CSM2-MR	r1i1p1f1	r1i1p1f1	170.000000	204540	93.479515	2.552275	195.467797	175.000000	5.000000	175.000000	5.000000	175.000000	5.000000
SP	CAMS-CSM1-0	r1i1p1f1	r1i1p1f1	170.000000	205800	97.655005	0.000000	188.426518	170.000000	0.000000	175.000000	5.000000	175.000000	5.000000
SP	CESM2	r1i1p1f1	r10i1p1f1	170.000000	190175	95.383726	0.000000	194.359588	170.000000	0.000000	170.000000	0.000000	170.000000	0.000000
SP	CNRM-CM6-1	r1i1p1f2	r1i1p1f2	170.000000	201376	94.500338	8.606468	193.750510	170.000000	0.000000	175.000000	5.000000	175.000000	5.000000
SP	CanESM5	r1i1p1f1	r1i1p1f1	170.000000	205800	97.272109	2.636349	203.754841	170.000000	0.000000	175.000000	5.000000	170.000000	0.000000
SP	EC-Earth3	r1i1p1f1	r1i1p1f1	170.000000	205800	84.544704	13.503731	200.154575	170.000000	0.000000	175.000000	5.000000	175.000000	5.000000
SP	FGOALS-f3-L	r1i1p1f1	r1i1p1f1	170.000000	197544	99.934192	0.000000	174.400316	170.000000	0.000000	170.000000	0.000000	175.000000	5.000000
SP	IPSL-CM6A-LR	r1i1p1f1	r1i1p1f1	170.000000	199447	95.449418	14.682727	197.205716	170.000000	0.000000	175.000000	5.000000	180.000000	10.000000
SP	MIROC6	r1i1p1f1	r1i1p1f1	170.000000	196808	98.852689	0.000000	191.343403	170.000000	0.000000	170.000000	0.000000	170.000000	0.000000
SP	MPI-ESM1-2-HR	r1i1p1f1	r1i1p1f1	170.000000	204955	89.405479	0.000000	211.505329	170.000000	0.000000	170.000000	0.000000	175.000000	5.000000
SP	MRI-ESM2-0	r1i1p1f1	r1i1p1f1	170.000000	202227	99.409080	5.609058	182.675073	170.000000	0.000000	175.000000	5.000000	175.000000	5.000000
SP	UKESM1-0-LL	r1i1p1f2	r1i1p1f2	170.000000	203113	99.283158	0.000000	191.243597	170.000000	0.000000	175.000000	5.000000	175.000000	5.000000
WNP	ACCESS-ESM1-5	r1i1p1f1	r1i1p1f1	185.000000	97311	99.998972	0.000000	186.359662	195.000000	10.000000	190.000000	5.000000	195.000000	10.000000
WNP	AWI-CM-1-1-MR	r1i1p1f1	r1i1p1f1	185.000000	147840	98.423295	0.000000	215.993994	185.000000	0.000000	190.000000	5.000000	195.000000	10.000000
WNP	BCC-CSM2-MR	r1i1p1f1	r1i1p1f1	185.000000	123900	99.981437	0.000000	190.344070	190.000000	5.000000	190.000000	5.000000	195.000000	10.000000
WNP	CAMS-CSM1-0	r1i1p1f1	r1i1p1f1	185.000000	123060	99.996750	0.000000	187.722908	185.000000	0.000000	190.000000	5.000000	190.000000	5.000000
WNP	CESM2	r1i1p1f1	r10i1p1f1	185.000000	103578	99.937245	0.637969	189.804357	190.000000	5.000000	190.000000	5.000000	185.000000	0.000000
WNP	CNRM-CM6-1	r1i1p1f2	r1i1p1f2	185.000000	113992	99.940347	1.132891	193.596954	190.000000	5.000000	190.000000	5.000000	195.000000	10.000000
WNP	CanESM5	r1i1p1f1	r1i1p1f1	185.000000	122595	99.999184	0.000000	186.448449	185.000000	0.000000	190.000000	5.000000	190.000000	5.000000
WNP	EC-Earth3	r1i1p1f1	r1i1p1f1	185.000000	123060	99.473428	0.000000	195.600814	185.000000	0.000000	190.000000	5.000000	190.000000	5.000000
WNP	FGOALS-f3-L	r1i1p1f1	r1i1p1f1	185.000000	111367	100.000000	0.000000	181.850405	180.000000	-5.000000	180.000000	-5.000000	185.000000	0.000000
WNP	IPSL-CM6A-LR	r1i1p1f1	r1i1p1f1	185.000000	111902	99.972297	0.000000	193.817405	185.000000	0.000000	190.000000	5.000000	195.000000	10.000000
WNP	MIROC6	r1i1p1f1	r1i1p1f1	185.000000	114043	99.824628	0.000000	211.166473	185.000000	0.000000	190.000000	5.000000	190.000000	5.000000
WNP	MPI-ESM1-2-HR	r1i1p1f1	r1i1p1f1	185.000000	126418	98.794475	0.000000	207.791726	185.000000	0.000000	190.000000	5.000000	190.000000	5.000000
WNP	MRI-ESM2-0	r1i1p1f1	r1i1p1f1	185.000000	115979	99.977582	0.000000	193.807844	190.000000	5.000000	190.000000	5.000000	195.000000	10.000000
WNP	UKESM1-0-LL	r1i1p1f2	r1i1p1f2	185.000000	117009	99.998291	0.000000	190.750321	190.000000	5.000000	195.000000	10.000000	195.000000	10.000000
